passID,timestamp,stationRef,vehicleRef,charge,t,v,hn,p,status
MGU4398755,2/1/2019 07:14,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE,home,unpaid
GEM5057485,2/1/2019 07:28,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO,home,unpaid
FFA6207327,2/1/2019 07:42,OO07,QR03XCJ37459,2.8,OO07,QR03XCJ37459,OO,home,unpaid
OLV7217348,2/1/2019 08:19,MR04,IZ65WAT29135,2,MR04,IZ65WAT29135,MR,home,unpaid
NKM7840606,2/1/2019 09:06,OO02,MX39VOS38645,2,OO02,MX39VOS38645,AO,away,unpaid
QZY0176136,2/1/2019 10:20,OO01,QR03XCJ37459,2.5,OO01,QR03XCJ37459,OO,home,unpaid
LEV3798414,2/1/2019 11:04,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO,home,unpaid
XCW7548977,2/1/2019 13:49,KO07,QO77TFN61853,2.2,KO07,QO77TFN61853,KO,home,unpaid
SSH1766507,2/1/2019 14:10,NE15,MQ65WJJ60020,1,NE15,MQ65WJJ60020,KO,away,unpaid
AWB9004088,2/1/2019 15:24,AO04,HT62RDI04611,2.8,AO04,HT62RDI04611,AO,home,unpaid
SNO1901037,2/1/2019 16:40,AO15,BM25PHF40639,13,AO15,BM25PHF40639,AO,home,unpaid
OCG0520265,2/1/2019 16:45,NE02,VX68BAR38623,1.5,NE02,VX68BAR38623,NE,home,unpaid
PZY6450746,2/1/2019 19:54,MR00,IZ65WAT29135,2,MR00,IZ65WAT29135,MR,home,unpaid
SVP4480098,2/1/2019 19:54,OO07,RK48BOP88344,2.8,OO07,RK48BOP88344,OO,home,unpaid
CKM4226732,2/1/2019 21:13,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
KYZ7726118,2/1/2019 21:13,MR05,XV91YMP27722,2.5,MR05,XV91YMP27722,MR,home,unpaid
BJS5915448,2/1/2019 21:36,AO11,BZ76ROL87339,1,AO11,BZ76ROL87339,AO,home,unpaid
ABE2129498,2/1/2019 21:47,AO14,BZ76ROL87339,1,AO14,BZ76ROL87339,AO,home,unpaid
QYU5003410,3/1/2019 00:02,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG,home,unpaid
WPS5352347,3/1/2019 01:40,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF,home,unpaid
RDV6518451,3/1/2019 02:39,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG,away,unpaid
WNH6218760,3/1/2019 03:04,KO01,QW79CHL42244,2.8,KO01,QW79CHL42244,KO,home,unpaid
RRS9227725,3/1/2019 03:32,EG05,CM15YCB60994,2,EG05,CM15YCB60994,EG,home,unpaid
LJZ4625728,3/1/2019 03:41,KO09,QW79CHL42244,2.8,KO09,QW79CHL42244,KO,home,unpaid
VED8509398,3/1/2019 04:03,OO11,JF94VYA88954,2.8,OO11,JF94VYA88954,OO,home,unpaid
IAQ7370002,3/1/2019 04:19,NE00,QP02SYE47964,2.8,NE00,QP02SYE47964,NE,home,unpaid
KPT1084302,3/1/2019 06:06,KO01,IX01MVL33676,2.5,KO01,IX01MVL33676,KO,home,unpaid
CSJ9595952,3/1/2019 06:24,KO05,IZ65WAT29135,1.5,KO05,IZ65WAT29135,MR,away,unpaid
AJB4007132,3/1/2019 06:51,AO18,MX39VOS38645,2.8,AO18,MX39VOS38645,AO,home,unpaid
IFJ1584058,3/1/2019 06:59,MR07,EZ65FLV39493,2.8,MR07,EZ65FLV39493,MR,home,unpaid
IJN5312188,3/1/2019 08:35,KO03,FL13UMN92207,1,KO03,FL13UMN92207,KO,home,unpaid
UZI9045597,3/1/2019 08:43,NE01,PM58XHX45588,1.5,NE01,PM58XHX45588,NE,home,unpaid
DKI5609758,3/1/2019 09:23,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF,home,unpaid
BJL0155721,3/1/2019 09:23,MR04,KF48RSD79865,2.8,MR04,KF48RSD79865,MR,home,unpaid
YON4581505,3/1/2019 12:20,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF,home,unpaid
JZP9177875,3/1/2019 14:02,AO04,YL27IFD65117,2,AO04,YL27IFD65117,AO,home,unpaid
SSZ7103725,3/1/2019 14:43,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR,home,unpaid
FPU0425557,3/1/2019 15:44,KO05,WY00MLL63827,1,KO05,WY00MLL63827,KO,home,unpaid
MOS5853245,3/1/2019 16:51,KO05,IX01MVL33676,2.5,KO05,IX01MVL33676,KO,home,unpaid
EWR2508893,3/1/2019 16:58,AO12,DP11ENT03275,3.1,AO12,DP11ENT03275,AO,home,unpaid
FDO3407403,3/1/2019 17:39,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO,home,unpaid
DLQ8625471,3/1/2019 19:31,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF,home,unpaid
ZAG0725273,3/1/2019 19:34,EG07,EC02LZC49528,2.8,EG07,EC02LZC49528,EG,home,unpaid
RJN3440849,3/1/2019 20:37,NE12,EG95RTB75032,2.8,NE12,EG95RTB75032,NE,home,unpaid
BXR7588699,3/1/2019 21:13,OO05,EM54HQI58682,2.8,OO05,EM54HQI58682,OO,home,unpaid
JZF0586381,3/1/2019 22:03,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG,home,unpaid
AKJ5235405,3/1/2019 22:15,NE06,XV91YMP27722,1.5,NE06,XV91YMP27722,MR,away,unpaid
YSK8555815,3/1/2019 22:56,EG09,TV81MAQ99005,2.8,EG09,TV81MAQ99005,EG,home,unpaid
VAS7777913,3/1/2019 23:10,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO,home,unpaid
OSB6924402,3/1/2019 23:11,OO01,WY00MLL63827,2.8,OO01,WY00MLL63827,KO,away,unpaid
IKP1014708,3/1/2019 23:28,AO02,PE73VJU23485,2.8,AO02,PE73VJU23485,AO,home,unpaid
NDS8480885,4/1/2019 00:41,NE07,PD45WOT56494,1.5,NE07,PD45WOT56494,NE,home,unpaid
IEP5322365,4/1/2019 00:46,AO05,YL27IFD65117,2,AO05,YL27IFD65117,AO,home,unpaid
LZU2500999,4/1/2019 01:37,NE09,FY47TUN40300,1,NE09,FY47TUN40300,NE,home,unpaid
FTO5959048,4/1/2019 02:32,NE07,NY14GZR94632,2.8,NE07,NY14GZR94632,NE,home,unpaid
PEO8978228,4/1/2019 02:38,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
IWZ6784211,4/1/2019 02:51,AO05,DV04FQL29609,3.1,AO05,DV04FQL29609,AO,home,unpaid
DOT0840926,4/1/2019 03:48,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO,home,unpaid
YIC2205567,4/1/2019 04:43,OO05,AT19HLV57173,2.8,OO05,AT19HLV57173,OO,home,unpaid
JYG0256462,4/1/2019 06:18,AO17,OC94ASJ72024,1,AO17,OC94ASJ72024,AO,home,unpaid
FZS8692226,4/1/2019 08:01,KO05,ED51EWW52190,1,KO05,ED51EWW52190,KO,home,unpaid
ZIK8298699,4/1/2019 08:11,OO06,UA13YTK28483,2.5,OO06,UA13YTK28483,MR,away,unpaid
GBM5773955,4/1/2019 08:41,OO01,AT19HLV57173,2.8,OO01,AT19HLV57173,OO,home,unpaid
PLP9237083,4/1/2019 08:43,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO,home,unpaid
PSV9420885,4/1/2019 08:56,NE15,BI87HYL81972,2.2,NE15,BI87HYL81972,MR,away,unpaid
OQE5431179,4/1/2019 09:27,KO06,KB55KTM48860,2.5,KO06,KB55KTM48860,KO,home,unpaid
FRP9290882,4/1/2019 09:32,AO15,BZ76ROL87339,1,AO15,BZ76ROL87339,AO,home,unpaid
VIG3313800,4/1/2019 15:15,KO06,IX01MVL33676,2.5,KO06,IX01MVL33676,KO,home,unpaid
BMV9911239,4/1/2019 15:27,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
BWS1548433,4/1/2019 16:03,EG07,TV81MAQ99005,2.8,EG07,TV81MAQ99005,EG,home,unpaid
DPC4921911,4/1/2019 16:38,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR,home,unpaid
FAD4262737,4/1/2019 16:52,AO08,DV04FQL29609,3.1,AO08,DV04FQL29609,AO,home,unpaid
BOS5722123,4/1/2019 17:39,MR05,QO68DIC93032,2.5,MR05,QO68DIC93032,MR,home,unpaid
BIP4596977,4/1/2019 17:45,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR,home,unpaid
IZU3260044,4/1/2019 18:05,MR03,HR53SRO94328,13,MR03,HR53SRO94328,MR,home,unpaid
IOI0658573,4/1/2019 19:07,OO02,PD45WOT56494,2,OO02,PD45WOT56494,NE,away,unpaid
ELI0385232,4/1/2019 21:05,MR08,HE38BQH01623,2.8,MR08,HE38BQH01623,MR,home,unpaid
SCB3162252,4/1/2019 21:05,OO05,VJ92OYV94295,2.5,OO05,VJ92OYV94295,OO,home,unpaid
XRB7777819,4/1/2019 21:25,KO08,AY38OQF67603,1.5,KO08,AY38OQF67603,OO,away,unpaid
VNX6112928,4/1/2019 21:30,OO02,XV40HUQ04740,1,OO02,XV40HUQ04740,OO,home,unpaid
JBK7975831,4/1/2019 22:14,OO01,XV40HUQ04740,1,OO01,XV40HUQ04740,OO,home,unpaid
UZV6669660,4/1/2019 22:41,NE14,FY47TUN40300,1,NE14,FY47TUN40300,NE,home,unpaid
AST1565987,4/1/2019 23:41,NE00,QU94IGC75528,2.8,NE00,QU94IGC75528,EG,away,unpaid
EPU9167801,5/1/2019 02:09,MR05,QN23UHH39091,2.8,MR05,QN23UHH39091,MR,home,unpaid
UME6300154,5/1/2019 03:12,NE14,OY94SZK34436,2.5,NE14,OY94SZK34436,NE,home,unpaid
IZL8111210,5/1/2019 03:29,KO05,MQ65WJJ60020,1.25,KO05,MQ65WJJ60020,KO,home,unpaid
TYT3955033,5/1/2019 03:58,AO08,VL67TFO75321,2.8,AO08,VL67TFO75321,EG,away,unpaid
WHI1664349,5/1/2019 05:13,NE13,QP02SYE47964,2.8,NE13,QP02SYE47964,NE,home,unpaid
XSE8654212,5/1/2019 06:11,NE15,JV67MTI17124,2.5,NE15,JV67MTI17124,NE,home,unpaid
TXL5895242,5/1/2019 06:41,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO,home,unpaid
LJC9157282,5/1/2019 08:15,KO03,JO50FSF60755,2.2,KO03,JO50FSF60755,KO,home,unpaid
HJW5583166,5/1/2019 09:36,MR05,BI87HYL81972,1,MR05,BI87HYL81972,MR,home,unpaid
OIV5602818,5/1/2019 10:01,MR02,UA13YTK28483,2.8,MR02,UA13YTK28483,MR,home,unpaid
DKX6181104,5/1/2019 11:20,NE00,EM54HQI58682,3.1,NE00,EM54HQI58682,OO,away,unpaid
TGM8606494,5/1/2019 11:22,EG07,IW53OQE31439,2.8,EG07,IW53OQE31439,EG,home,unpaid
UIC7940896,5/1/2019 11:28,EG12,TE24LCO18661,1.25,EG12,TE24LCO18661,EG,home,unpaid
PZP9995637,5/1/2019 18:12,MR08,KF48RSD79865,2.8,MR08,KF48RSD79865,MR,home,unpaid
HOA0727154,5/1/2019 19:13,MR03,KF48RSD79865,2.8,MR03,KF48RSD79865,MR,home,unpaid
KTK8951799,5/1/2019 20:21,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
UWV9537409,5/1/2019 21:22,AO01,DP11ENT03275,3.1,AO01,DP11ENT03275,AO,home,unpaid
GYR0258541,5/1/2019 22:43,AO13,RR73DWB65452,2.8,AO13,RR73DWB65452,AO,home,unpaid
SDQ5556853,5/1/2019 23:45,NE03,QP02SYE47964,2.8,NE03,QP02SYE47964,NE,home,unpaid
UDF1325536,5/1/2019 23:57,OO01,AY38OQF67603,2.8,OO01,AY38OQF67603,OO,home,unpaid
NQV7199789,6/1/2019 00:22,EG10,CM15YCB60994,2,EG10,CM15YCB60994,EG,home,unpaid
INA0533953,6/1/2019 00:50,NE05,VX68BAR38623,1.5,NE05,VX68BAR38623,NE,home,unpaid
AZT9656066,6/1/2019 01:25,OO05,JF94VYA88954,2.8,OO05,JF94VYA88954,OO,home,unpaid
IUO2143413,6/1/2019 02:49,MR07,RR98KQE80731,1.25,MR07,RR98KQE80731,MR,home,unpaid
UXT7394943,6/1/2019 02:58,EG06,EC02LZC49528,2.8,EG06,EC02LZC49528,EG,home,unpaid
LJW9984906,6/1/2019 03:17,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF,home,unpaid
TPR4294291,6/1/2019 03:35,NE15,EG95RTB75032,2.8,NE15,EG95RTB75032,NE,home,unpaid
ULN8974546,6/1/2019 03:48,AO12,HT62RDI04611,2.8,AO12,HT62RDI04611,AO,home,unpaid
QZK4342840,6/1/2019 03:55,MR02,QH15HWX24570,3.1,MR02,QH15HWX24570,MR,home,unpaid
XWI7097584,6/1/2019 05:33,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF,home,unpaid
MXM6404031,6/1/2019 07:06,AO14,YL27IFD65117,2,AO14,YL27IFD65117,AO,home,unpaid
YJU8743734,6/1/2019 07:31,EG12,EC02LZC49528,2.8,EG12,EC02LZC49528,EG,home,unpaid
SUH5952969,6/1/2019 09:34,NE07,QR03XCJ37459,1.5,NE07,QR03XCJ37459,OO,away,unpaid
WOJ6728265,6/1/2019 11:37,MR05,RR98KQE80731,1.25,MR05,RR98KQE80731,MR,home,unpaid
PAV5608102,6/1/2019 11:37,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE,home,unpaid
CFO6913267,6/1/2019 11:39,OO08,LC72NRN52084,1.25,OO08,LC72NRN52084,OO,home,unpaid
PAL2525981,6/1/2019 12:12,OO03,IC95TLY24827,2,OO03,IC95TLY24827,OO,home,unpaid
RCF4544449,6/1/2019 12:43,KO00,WY00MLL63827,1,KO00,WY00MLL63827,KO,home,unpaid
PVJ3943516,6/1/2019 12:54,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG,away,unpaid
IRX8848859,6/1/2019 12:57,AO08,RR73DWB65452,2.8,AO08,RR73DWB65452,AO,home,unpaid
MCD5475060,6/1/2019 13:13,KO08,MQ65WJJ60020,1.25,KO08,MQ65WJJ60020,KO,home,unpaid
PFW8615887,6/1/2019 14:19,OO09,RK48BOP88344,2.8,OO09,RK48BOP88344,OO,home,unpaid
ASW3119652,6/1/2019 15:33,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR,home,unpaid
VQA8895237,6/1/2019 15:57,NE16,IA29IQS63679,1,NE16,IA29IQS63679,NE,home,unpaid
NHL4953806,6/1/2019 16:44,OO13,LG64ARC91224,1.5,OO13,LG64ARC91224,AO,away,unpaid
MAK0971449,6/1/2019 16:47,KO07,FY47TUN40300,2.8,KO07,FY47TUN40300,NE,away,unpaid
JFR2402578,6/1/2019 17:25,GF00,SL09NOT64494,2.5,GF00,SL09NOT64494,GF,home,unpaid
YYP0773445,6/1/2019 18:29,EG00,TZ48CCW54765,3.1,EG00,TZ48CCW54765,EG,home,unpaid
LIV9253695,6/1/2019 19:23,OO03,XV40HUQ04740,1,OO03,XV40HUQ04740,OO,home,unpaid
CCS6814108,6/1/2019 21:36,NE06,NY14GZR94632,2.8,NE06,NY14GZR94632,NE,home,unpaid
KOC7962766,6/1/2019 23:08,GF00,MA30QLI76818,2.5,GF00,MA30QLI76818,GF,home,unpaid
DOZ1453528,6/1/2019 23:08,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
PFR7735501,6/1/2019 23:50,NE08,OY94SZK34436,1,NE08,OY94SZK34436,NE,home,unpaid
RVF1714057,6/1/2019 23:54,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
QJM2827051,7/1/2019 00:07,KO06,JO50FSF60755,2.2,KO06,JO50FSF60755,KO,home,unpaid
HNU5135879,7/1/2019 00:26,MR07,UA13YTK28483,2.8,MR07,UA13YTK28483,MR,home,unpaid
NUF0316968,7/1/2019 00:57,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home,unpaid
MFM7697504,7/1/2019 01:12,OO09,YX66XYW62640,1,OO09,YX66XYW62640,GF,away,unpaid
RRF5482950,7/1/2019 01:34,KO09,IX01MVL33676,2.5,KO09,IX01MVL33676,KO,home,unpaid
RCS4635589,7/1/2019 01:35,MR07,HE38BQH01623,2.8,MR07,HE38BQH01623,MR,home,unpaid
LZJ2868612,7/1/2019 02:19,NE12,QP02SYE47964,2.8,NE12,QP02SYE47964,NE,home,unpaid
HPB9107400,7/1/2019 02:53,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
KMK0226092,7/1/2019 03:36,OO07,JO50FSF60755,2,OO07,JO50FSF60755,KO,away,unpaid
NRK5104296,7/1/2019 05:02,MR02,UF84JOS00561,3.1,MR02,UF84JOS00561,GF,away,unpaid
RBK8060006,7/1/2019 05:27,AO05,YL27IFD65117,2,AO05,YL27IFD65117,AO,home,unpaid
AUU6469015,7/1/2019 06:24,AO13,EM54HQI58682,2.8,AO13,EM54HQI58682,OO,away,unpaid
IQN6203368,7/1/2019 08:48,EG06,SL09NOT64494,2.2,EG06,SL09NOT64494,GF,away,unpaid
VXK5719170,7/1/2019 08:59,EG05,EC02LZC49528,2.8,EG05,EC02LZC49528,EG,home,unpaid
QRR8447934,7/1/2019 09:03,MR00,QO68DIC93032,2.5,MR00,QO68DIC93032,MR,home,unpaid
NXJ2283523,7/1/2019 10:21,NE02,FY47TUN40300,1,NE02,FY47TUN40300,NE,home,unpaid
BPA2075644,7/1/2019 11:55,KO07,FL13UMN92207,1,KO07,FL13UMN92207,KO,home,unpaid
GIQ5227984,7/1/2019 12:10,NE02,AT19HLV57173,2,NE02,AT19HLV57173,OO,away,unpaid
QMM0347109,7/1/2019 12:11,OO12,BI87HYL81972,2.5,OO12,BI87HYL81972,MR,away,unpaid
NBS8149331,7/1/2019 12:23,OO10,QX75YWC61835,2.5,OO10,QX75YWC61835,OO,home,unpaid
WXO4856567,7/1/2019 14:15,EG10,EV77EDV52985,1.25,EG10,EV77EDV52985,NE,away,unpaid
DSB0448624,7/1/2019 15:22,GF00,UF84JOS00561,2.8,GF00,UF84JOS00561,GF,home,unpaid
REY3108814,7/1/2019 15:38,NE16,IA29IQS63679,1,NE16,IA29IQS63679,NE,home,unpaid
LAO6168976,7/1/2019 15:53,OO05,DP11ENT03275,1,OO05,DP11ENT03275,AO,away,unpaid
UQR3278904,7/1/2019 16:05,AO13,EV77EDV52985,2.8,AO13,EV77EDV52985,NE,away,unpaid
DPZ9842551,7/1/2019 16:28,NE13,EG95RTB75032,2.8,NE13,EG95RTB75032,NE,home,unpaid
HCX4122632,7/1/2019 18:13,AO04,PE73VJU23485,2.8,AO04,PE73VJU23485,AO,home,unpaid
ARH1581655,7/1/2019 18:27,KO01,WY00MLL63827,1,KO01,WY00MLL63827,KO,home,unpaid
HTD0281631,7/1/2019 19:53,AO08,RK48BOP88344,2.8,AO08,RK48BOP88344,OO,away,unpaid
IWR8131559,7/1/2019 20:03,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO,home,unpaid
XQT9913725,7/1/2019 21:39,AO12,LG64ARC91224,13,AO12,LG64ARC91224,AO,home,unpaid
FDG4220162,7/1/2019 22:40,EG10,CM15YCB60994,2,EG10,CM15YCB60994,EG,home,unpaid
SYA7107074,7/1/2019 23:04,EG07,CR31GMR97972,1.5,EG07,CR31GMR97972,EG,home,unpaid
EGU0149427,7/1/2019 23:39,NE00,OY94SZK34436,2.5,NE00,OY94SZK34436,NE,home,unpaid
OXK0045085,7/1/2019 23:40,KO03,KB55KTM48860,2.5,KO03,KB55KTM48860,KO,home,unpaid
UTD5120164,8/1/2019 00:24,OO04,AT19HLV57173,2.8,OO04,AT19HLV57173,OO,home,unpaid
UBP7692482,8/1/2019 01:47,OO07,TV81MAQ99005,3.1,OO07,TV81MAQ99005,EG,away,unpaid
YQF2255735,8/1/2019 01:55,GF00,QN12NTR81378,2.8,GF00,QN12NTR81378,GF,home,unpaid
TBW5744223,8/1/2019 03:13,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR,home,unpaid
OFS6376591,8/1/2019 03:18,EG02,RK48BOP88344,2.5,EG02,RK48BOP88344,OO,away,unpaid
FAE2281094,8/1/2019 05:38,OO04,SY96JDQ97089,2,OO04,SY96JDQ97089,AO,away,unpaid
IIM9785176,8/1/2019 05:52,NE07,UP28MBM38391,1,NE07,UP28MBM38391,NE,home,unpaid
PHE1025027,8/1/2019 06:22,MR07,KF48RSD79865,2.8,MR07,KF48RSD79865,MR,home,unpaid
INQ8456777,8/1/2019 07:47,AO17,JD78PQD35395,2.8,AO17,JD78PQD35395,EG,away,unpaid
DUR6384757,8/1/2019 08:11,AO01,BM25PHF40639,13,AO01,BM25PHF40639,AO,home,unpaid
OZT5115958,8/1/2019 08:12,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home,unpaid
LMA8654820,8/1/2019 09:59,AO04,EC02LZC49528,2.8,AO04,EC02LZC49528,EG,away,unpaid
XTE9166677,8/1/2019 11:22,NE00,FY47TUN40300,1,NE00,FY47TUN40300,NE,home,unpaid
PPU9152797,8/1/2019 13:04,AO13,FL13UMN92207,2.8,AO13,FL13UMN92207,KO,away,unpaid
BRN7360799,8/1/2019 13:15,NE09,IA29IQS63679,1,NE09,IA29IQS63679,NE,home,unpaid
OLV1623583,8/1/2019 14:08,OO03,LC72NRN52084,3.1,OO03,LC72NRN52084,OO,home,unpaid
XVJ7652867,8/1/2019 14:18,GF00,CP56DAO45598,2.8,GF00,CP56DAO45598,GF,home,unpaid
UVE2297410,8/1/2019 15:42,EG02,BI87HYL81972,1,EG02,BI87HYL81972,MR,away,unpaid
LZP3584479,8/1/2019 15:52,NE13,QR03XCJ37459,1.5,NE13,QR03XCJ37459,OO,away,unpaid
COH4374136,8/1/2019 15:53,NE01,PD45WOT56494,2,NE01,PD45WOT56494,NE,home,unpaid
EZI7123567,8/1/2019 16:14,MR04,LM86GYO69819,2.2,MR04,LM86GYO69819,GF,away,unpaid
HSO9832566,8/1/2019 16:25,AO08,LG64ARC91224,13,AO08,LG64ARC91224,AO,home,unpaid
GWX5926658,8/1/2019 17:14,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
PGX6872041,8/1/2019 17:34,EG01,JD78PQD35395,1,EG01,JD78PQD35395,EG,home,unpaid
EWR8013818,8/1/2019 17:52,NE08,ZY93PCY41868,1.25,NE08,ZY93PCY41868,KO,away,unpaid
AJJ7574694,8/1/2019 18:02,OO02,HE38BQH01623,1.5,OO02,HE38BQH01623,MR,away,unpaid
BAM0767909,8/1/2019 18:49,AO09,BM25PHF40639,13,AO09,BM25PHF40639,AO,home,unpaid
ZTV2947809,8/1/2019 18:51,AO05,DP11ENT03275,3.1,AO05,DP11ENT03275,AO,home,unpaid
MDB4040741,8/1/2019 19:31,OO00,PD45WOT56494,1.5,OO00,PD45WOT56494,NE,away,unpaid
CSG3318300,8/1/2019 21:22,MR03,IZ65WAT29135,2,MR03,IZ65WAT29135,MR,home,unpaid
NHM3675844,8/1/2019 21:30,NE05,QO68DIC93032,3.1,NE05,QO68DIC93032,MR,away,unpaid
DPB6551839,8/1/2019 21:42,KO02,KB55KTM48860,2.5,KO02,KB55KTM48860,KO,home,unpaid
YZI2644272,8/1/2019 22:06,KO06,WY00MLL63827,1,KO06,WY00MLL63827,KO,home,unpaid
